Source,Target
EXPE,Service
EXPE,Entertainment
AMZN,Consumer Discretionary
AMZN,Internet and Direct Marketing Retail
AMZN,Material Goods
HAS,Consumer Discretionary
HAS,Leisure Products
HAS,Entertainment
HOG,Consumer Discretionary
HOG,Motorcycle Manufacturers
HOG,Transport
CMG,Consumer Discretionary
CMG,Restaurants
CMG,Food
DRI,Consumer Discretionary
DRI,Restaurants
DRI,Food
DPZ,Consumer Discretionary
DPZ,Restaurants
DPZ,Food
MCD,Consumer Discretionary
MCD,Restaurants
MCD,Food
SBUX,Consumer Discretionary
SBUX,Restaurants
SBUX,Food
YUM,Consumer Discretionary
YUM,Restaurants
YUM,Food
HRB,Consumer Discretionary
HRB,Specialized Consumer Services
HRB,Service
TIF,Consumer Discretionary
TIF,Specialty Stores
TIF,Material Goods
TSCO,Consumer Discretionary
TSCO,Specialty Stores
TSCO,Material Goods
ULTA,Consumer Discretionary
ULTA,Specialty Stores
ULTA,Material Goods
ADM,Consumer Staples
ADM,Agricultural Products
ADM,Food
DAR,Consumer Staples
DAR,Agricultural Products
DAR,Food
BG,Consumer Staples
BG,Agricultural Products
BG,Food
VFF,Consumer Staples
VFF,Agricultural Products
VFF,Food
FDP,Consumer Staples
FDP,Agricultural Products
FDP,Food
TAP,Consumer Staples
TAP,Brewers
TAP,Alcohol
SAM,Consumer Staples
SAM,Brewers
SAM,Alcohol
BF.B,Consumer Staples
BF.B,Distillers and Vintners
BF.B,Alcohol
STZ,Consumer Staples
STZ,Distillers and Vintners
STZ,Alcohol
DEO,Consumer Staples
DEO,Distillers and Vintners
DEO,Alcohol
WBA,Consumer Staples
WBA,Drug Retail
WBA,Medicine
RAD,Consumer Staples
RAD,Drug Retail
RAD,Medicine
SYY,Consumer Staples
SYY,Food Distributors
SYY,Food
UNFI,Consumer Staples
UNFI,Food Distributors
UNFI,Food
KR,Consumer Staples
KR,Food Retail
KR,Food
MRWSY,Consumer Staples
MRWSY,Food Retail
MRWSY,Food
JSAIY,Consumer Staples
JSAIY,Food Retail
JSAIY,Food
CASY,Consumer Staples
CASY,Food Retail
CASY,Food
CHD,Consumer Staples
CHD,Household Products
CHD,Material Goods
CHD,Home
CL,Consumer Staples
CL,Household Products
CL,Material Goods
CL,Home
KMB,Consumer Staples
KMB,Household Products
KMB,Material Goods
KMB,Home
PG,Consumer Staples
PG,Household Products
PG,Material Goods
PG,Home
CLX,Consumer Staples
CLX,Household Products
CLX,Material Goods
CLX,Home
CENT,Consumer Staples
CENT,Household Products
CENT,Material Goods
CENT,Home
COST,Consumer Staples
COST,Hypermarkets and Super Centers
COST,Food
WMT,Consumer Staples
WMT,Hypermarkets and Super Centers
WMT,Food
PSMT,Consumer Staples
PSMT,Hypermarkets and Super Centers
PSMT,Food
CPB,Consumer Staples
CPB,Packaged Foods and Meats
CPB,Food
CAG,Consumer Staples
CAG,Packaged Foods and Meats
CAG,Food
GIS,Consumer Staples
GIS,Packaged Foods and Meats
GIS,Food
HRL,Consumer Staples
HRL,Packaged Foods and Meats
HRL,Food
SJM,Consumer Staples
SJM,Packaged Foods and Meats
SJM,Food
K,Consumer Staples
K,Packaged Foods and Meats
K,Food
MKC,Consumer Staples
MKC,Packaged Foods and Meats
MKC,Food
MDLZ,Consumer Staples
MDLZ,Packaged Foods and Meats
MDLZ,Food
HSY,Consumer Staples
HSY,Packaged Foods and Meats
HSY,Food
TSN,Consumer Staples
TSN,Packaged Foods and Meats
TSN,Food
THS,Consumer Staples
THS,Packaged Foods and Meats
THS,Food
BGS,Consumer Staples
BGS,Packaged Foods and Meats
BGS,Food
FLO,Consumer Staples
FLO,Packaged Foods and Meats
FLO,Food
HAIN,Consumer Staples
HAIN,Packaged Foods and Meats
HAIN,Food
STKL,Consumer Staples
STKL,Packaged Foods and Meats
STKL,Food
EL,Consumer Staples
EL,Personal Products
EL,Material Goods
VERU,Consumer Staples
VERU,Personal Products
VERU,Material Goods
USNA,Consumer Staples
USNA,Personal Products
USNA,Material Goods
HLF,Consumer Staples
HLF,Personal Products
HLF,Material Goods
MED,Consumer Staples
MED,Personal Products
MED,Material Goods
KO,Consumer Staples
KO,Soft Drinks
KO,Food
MNST,Consumer Staples
MNST,Soft Drinks
MNST,Food
PEP,Consumer Staples
PEP,Soft Drinks
PEP,Food
REED,Consumer Staples
REED,Soft Drinks
REED,Food
FIZZ,Consumer Staples
FIZZ,Soft Drinks
FIZZ,Food
MO,Consumer Staples
MO,Tobacco
MO,Recreational Drugs
PM,Consumer Staples
PM,Tobacco
PM,Recreational Drugs
BTI,Consumer Staples
BTI,Tobacco
BTI,Recreational Drugs
CVX,Energy
CVX,Integrated Oil and Gas
CVX,Transport
XOM,Energy
XOM,Integrated Oil and Gas
XOM,Transport
OXY,Energy
OXY,Integrated Oil and Gas
OXY,Transport
TOT,Energy
TOT,Integrated Oil and Gas
TOT,Transport
BP,Energy
BP,Integrated Oil and Gas
BP,Transport
HAL,Energy
HAL,Oil and Gas Equipment and Services
HAL,Transport
NOV,Energy
NOV,Oil and Gas Equipment and Services
NOV,Transport
SLB,Energy
SLB,Oil and Gas Equipment and Services
SLB,Transport
OII,Energy
OII,Oil and Gas Equipment and Services
OII,Transport
IO,Energy
IO,Oil and Gas Equipment and Services
IO,Transport
NGS,Energy
NGS,Oil and Gas Equipment and Services
NGS,Transport
COG,Energy
COG,Oil and Gas Exploration and Production
COG,Transport
CXO,Energy
CXO,Oil and Gas Exploration and Production
CXO,Transport
COP,Energy
COP,Oil and Gas Exploration and Production
COP,Transport
DVN,Energy
DVN,Oil and Gas Exploration and Production
DVN,Transport
EOG,Energy
EOG,Oil and Gas Exploration and Production
EOG,Transport
HES,Energy
HES,Oil and Gas Exploration and Production
HES,Transport
MRO,Energy
MRO,Oil and Gas Exploration and Production
MRO,Transport
NBL,Energy
NBL,Oil and Gas Exploration and Production
NBL,Transport
PXD,Energy
PXD,Oil and Gas Exploration and Production
PXD,Transport
XEC,Energy
XEC,Oil and Gas Exploration and Production
XEC,Transport
ERF,Energy
ERF,Oil and Gas Exploration and Production
ERF,Transport
SBOW,Energy
SBOW,Oil and Gas Exploration and Production
SBOW,Transport
CNX,Energy
CNX,Oil and Gas Exploration and Production
CNX,Transport
CPE,Energy
CPE,Oil and Gas Exploration and Production
CPE,Transport
EQT,Energy
EQT,Oil and Gas Exploration and Production
EQT,Transport
HFC,Energy
HFC,Oil and Gas Refining and Marketing
HFC,Transport
VLO,Energy
VLO,Oil and Gas Refining and Marketing
VLO,Transport
INT,Energy
INT,Oil and Gas Refining and Marketing
INT,Transport
CLNE,Energy
CLNE,Oil and Gas Refining and Marketing
CLNE,Transport
PEIX,Energy
PEIX,Oil and Gas Refining and Marketing
PEIX,Transport
GPRE,Energy
GPRE,Oil and Gas Refining and Marketing
GPRE,Transport
OKE,Energy
OKE,Oil and Gas Storage and Transportation
OKE,Transport
WMB,Energy
WMB,Oil and Gas Storage and Transportation
WMB,Transport
NAT,Energy
NAT,Oil and Gas Storage and Transportation
NAT,Transport
GLP,Energy
GLP,Oil and Gas Storage and Transportation
GLP,Transport
TNK,Energy
TNK,Oil and Gas Storage and Transportation
TNK,Transport
NNA,Energy
NNA,Oil and Gas Storage and Transportation
NNA,Transport
EPD,Energy
EPD,Oil and Gas Storage and Transportation
EPD,Transport
GASS,Energy
GASS,Oil and Gas Storage and Transportation
GASS,Transport
AMP,Financials
AMP,Asset Management and Custody Banks
AMP,Service
BLK,Financials
BLK,Asset Management and Custody Banks
BLK,Service
BEN,Financials
BEN,Asset Management and Custody Banks
BEN,Service
IVZ,Financials
IVZ,Asset Management and Custody Banks
IVZ,Service
TROW,Financials
TROW,Asset Management and Custody Banks
TROW,Service
WDR,Financials
WDR,Asset Management and Custody Banks
WDR,Service
SEIC,Financials
SEIC,Asset Management and Custody Banks
SEIC,Service
NEWT,Financials
NEWT,Asset Management and Custody Banks
NEWT,Service
CME,Financials
CME,Financial Exchanges and Data
CME,Service
ICE,Financials
ICE,Financial Exchanges and Data
ICE,Service
MKTX,Financials
MKTX,Financial Exchanges and Data
MKTX,Service
MSCI,Financials
MSCI,Financial Exchanges and Data
MSCI,Service
MCO,Financials
MCO,Financial Exchanges and Data
MCO,Service
NDAQ,Financials
NDAQ,Financial Exchanges and Data
NDAQ,Service
SPGI,Financials
SPGI,Financial Exchanges and Data
SPGI,Service
FDS,Financials
FDS,Financial Exchanges and Data
FDS,Service
AJG,Financials
AJG,Insurance Brokers
AJG,Service
AJG,Insurance
MMC,Financials
MMC,Insurance Brokers
MMC,Service
MMC,Insurance
WLTW,Financials
WLTW,Insurance Brokers
WLTW,Service
WLTW,Insurance
AFL,Financials
AFL,Life and Health Insurance
AFL,Service
AFL,Insurance
GL,Financials
GL,Life and Health Insurance
GL,Service
GL,Insurance
LNC,Financials
LNC,Life and Health Insurance
LNC,Service
LNC,Insurance
MET,Financials
MET,Life and Health Insurance
MET,Service
MET,Insurance
PFG,Financials
PFG,Life and Health Insurance
PFG,Service
PFG,Insurance
PRU,Financials
PRU,Life and Health Insurance
PRU,Service
PRU,Insurance
UNM,Financials
UNM,Life and Health Insurance
UNM,Service
UNM,Insurance
SLF,Financials
SLF,Life and Health Insurance
SLF,Service
SLF,Insurance
BRK.B,Financials
BRK.B,Multi-Sector Holdings
BRK.B,Service
AIG,Financials
AIG,Multi-line Insurance
AIG,Service
AIG,Insurance
AIZ,Financials
AIZ,Multi-line Insurance
AIZ,Service
AIZ,Insurance
HIG,Financials
HIG,Multi-line Insurance
HIG,Service
HIG,Insurance
CB,Financials
CB,Property and Casualty Insurance
CB,Service
CB,Insurance
CINF,Financials
CINF,Property and Casualty Insurance
CINF,Service
CINF,Insurance
ALL,Financials
ALL,Property and Casualty Insurance
ALL,Service
ALL,Insurance
PGR,Financials
PGR,Property and Casualty Insurance
PGR,Service
PGR,Insurance
TRV,Financials
TRV,Property and Casualty Insurance
TRV,Service
TRV,Insurance
WRB,Financials
WRB,Property and Casualty Insurance
WRB,Service
WRB,Insurance
DGICA,Financials
DGICA,Property and Casualty Insurance
DGICA,Service
DGICA,Insurance
EIG,Financials
EIG,Property and Casualty Insurance
EIG,Service
EIG,Insurance
L,Financials
L,Property and Casualty Insurance
L,Service
L,Insurance
FNF,Financials
FNF,Property and Casualty Insurance
FNF,Service
FNF,Insurance
STC,Financials
STC,Property and Casualty Insurance
STC,Service
STC,Insurance
RE,Financials
RE,Reinsurance
RE,Service
RE,Insurance
ALXN,Healthcare
ALXN,Biotechnology
ALXN,Medicine
AMGN,Healthcare
AMGN,Biotechnology
AMGN,Medicine
BIIB,Healthcare
BIIB,Biotechnology
BIIB,Medicine
GILD,Healthcare
GILD,Biotechnology
GILD,Medicine
INCY,Healthcare
INCY,Biotechnology
INCY,Medicine
REGN,Healthcare
REGN,Biotechnology
REGN,Medicine
VRTX,Healthcare
VRTX,Biotechnology
VRTX,Medicine
ABC,Healthcare
ABC,Health Care Distributors
ABC,Medicine
CAH,Healthcare
CAH,Health Care Distributors
CAH,Medicine
HSIC,Healthcare
HSIC,Health Care Distributors
HSIC,Medicine
MCK,Healthcare
MCK,Health Care Distributors
MCK,Medicine
ABT,Healthcare
ABT,Health Care Equipment
ABT,Tools/Equipment
ABMD,Healthcare
ABMD,Health Care Equipment
ABMD,Tools/Equipment
BAX,Healthcare
BAX,Health Care Equipment
BAX,Tools/Equipment
BDX,Healthcare
BDX,Health Care Equipment
BDX,Tools/Equipment
BSX,Healthcare
BSX,Health Care Equipment
BSX,Tools/Equipment
DHR,Healthcare
DHR,Health Care Equipment
DHR,Tools/Equipment
DXCM,Healthcare
DXCM,Health Care Equipment
DXCM,Tools/Equipment
EW,Healthcare
EW,Health Care Equipment
EW,Tools/Equipment
HOLX,Healthcare
HOLX,Health Care Equipment
HOLX,Tools/Equipment
ISRG,Healthcare
ISRG,Health Care Equipment
ISRG,Tools/Equipment
RMD,Healthcare
RMD,Health Care Equipment
RMD,Tools/Equipment
STE,Healthcare
STE,Health Care Equipment
STE,Tools/Equipment
SYK,Healthcare
SYK,Health Care Equipment
SYK,Tools/Equipment
TFX,Healthcare
TFX,Health Care Equipment
TFX,Tools/Equipment
VAR,Healthcare
VAR,Health Care Equipment
VAR,Tools/Equipment
ZBH,Healthcare
ZBH,Health Care Equipment
ZBH,Tools/Equipment
IDXX,Healthcare
IDXX,Health Care Equipment
IDXX,Tools/Equipment
UHS,Healthcare
UHS,Health Care Facilities
UHS,Service
CVS,Healthcare
CVS,Health Care Services
CVS,Service
DVA,Healthcare
DVA,Health Care Services
DVA,Service
LH,Healthcare
LH,Health Care Services
LH,Service
DGX,Healthcare
DGX,Health Care Services
DGX,Service
CI,Healthcare
CI,Health Care Services
CI,Service
ALGN,Healthcare
ALGN,Health Care Supplies
ALGN,Tools/Equipment
XRAY,Healthcare
XRAY,Health Care Supplies
XRAY,Tools/Equipment
COO,Healthcare
COO,Health Care Supplies
COO,Tools/Equipment
WST,Healthcare
WST,Health Care Supplies
WST,Tools/Equipment
CERN,Healthcare
CERN,Health Care Technology
CERN,Tools/Equipment
A,Healthcare
A,Life Sciences Tools and Services
A,Service
ILMN,Healthcare
ILMN,Life Sciences Tools and Services
ILMN,Service
MTD,Healthcare
MTD,Life Sciences Tools and Services
MTD,Service
PKI,Healthcare
PKI,Life Sciences Tools and Services
PKI,Service
TMO,Healthcare
TMO,Life Sciences Tools and Services
TMO,Service
WAT,Healthcare
WAT,Life Sciences Tools and Services
WAT,Service
ANTM,Healthcare
ANTM,Managed Health Care
ANTM,Service
CNC,Healthcare
CNC,Managed Health Care
CNC,Service
HUM,Healthcare
HUM,Managed Health Care
HUM,Service
UNH,Healthcare
UNH,Managed Health Care
UNH,Service
BMY,Healthcare
BMY,Pharmaceuticals
BMY,Medicine
LLY,Healthcare
LLY,Pharmaceuticals
LLY,Medicine
JNJ,Healthcare
JNJ,Pharmaceuticals
JNJ,Medicine
MRK,Healthcare
MRK,Pharmaceuticals
MRK,Medicine
PRGO,Healthcare
PRGO,Pharmaceuticals
PRGO,Medicine
PFE,Healthcare
PFE,Pharmaceuticals
PFE,Medicine
ADBE,IT
ADBE,Application Software
ADBE,Tools/Equipment
ANSS,IT
ANSS,Application Software
ANSS,Tools/Equipment
ADSK,IT
ADSK,Application Software
ADSK,Tools/Equipment
CDNS,IT
CDNS,Application Software
CDNS,Tools/Equipment
CTXS,IT
CTXS,Application Software
CTXS,Tools/Equipment
INTU,IT
INTU,Application Software
INTU,Tools/Equipment
CRM,IT
CRM,Application Software
CRM,Tools/Equipment
SNPS,IT
SNPS,Application Software
SNPS,Tools/Equipment
CSCO,IT
CSCO,Communications Equipment
CSCO,Tools/Equipment
FFIV,IT
FFIV,Communications Equipment
FFIV,Tools/Equipment
JNPR,IT
JNPR,Communications Equipment
JNPR,Tools/Equipment
MSI,IT
MSI,Communications Equipment
MSI,Tools/Equipment
ADS,IT
ADS,Data Processing and Outsourced Services
ADS,Service
ADP,IT
ADP,Data Processing and Outsourced Services
ADP,Service
BR,IT
BR,Data Processing and Outsourced Services
BR,Service
FIS,IT
FIS,Data Processing and Outsourced Services
FIS,Service
FISV,IT
FISV,Data Processing and Outsourced Services
FISV,Service
GPN,IT
GPN,Data Processing and Outsourced Services
GPN,Service
JKHY,IT
JKHY,Data Processing and Outsourced Services
JKHY,Service
PAYX,IT
PAYX,Data Processing and Outsourced Services
PAYX,Service
V,IT
V,Data Processing and Outsourced Services
V,Service
WU,IT
WU,Data Processing and Outsourced Services
WU,Service
MA,IT
MA,Data Processing and Outsourced Services
MA,Service
APH,IT
APH,Electronic Components
APH,Tools/Equipment
GLW,IT
GLW,Electronic Components
GLW,Tools/Equipment
FLIR,IT
FLIR,Electronic Equipment and Instruments
FLIR,Tools/Equipment
IPGP,IT
IPGP,Electronic Manufacturing Services
IPGP,Service
TEL,IT
TEL,Electronic Manufacturing Services
TEL,Service
CTSH,IT
CTSH,IT Consulting and Other Services
CTSH,Service
IBM,IT
IBM,IT Consulting and Other Services
IBM,Service
LDOS,IT
LDOS,IT Consulting and Other Services
LDOS,Service
ACN,IT
ACN,IT Consulting and Other Services
ACN,Service
IT,IT
IT,IT Consulting and Other Services
IT,Service
GOOGL,IT
GOOGL,Interactive Media and Services
GOOGL,Service
AKAM,IT
AKAM,Internet Services and Infrastructure
AKAM,Service
VRSN,IT
VRSN,Internet Services and Infrastructure
VRSN,Service
AMAT,IT
AMAT,Semiconductor Equipment
AMAT,Tools/Equipment
KLAC,IT
KLAC,Semiconductor Equipment
KLAC,Tools/Equipment
LRCX,IT
LRCX,Semiconductor Equipment
LRCX,Tools/Equipment
AMD,IT
AMD,Semiconductors
AMD,Tools/Equipment
ADI,IT
ADI,Semiconductors
ADI,Tools/Equipment
AVGO,IT
AVGO,Semiconductors
AVGO,Tools/Equipment
INTC,IT
INTC,Semiconductors
INTC,Tools/Equipment
MCHP,IT
MCHP,Semiconductors
MCHP,Tools/Equipment
MU,IT
MU,Semiconductors
MU,Tools/Equipment
NVDA,IT
NVDA,Semiconductors
NVDA,Tools/Equipment
QCOM,IT
QCOM,Semiconductors
QCOM,Tools/Equipment
SWKS,IT
SWKS,Semiconductors
SWKS,Tools/Equipment
TXN,IT
TXN,Semiconductors
TXN,Tools/Equipment
XLNX,IT
XLNX,Semiconductors
XLNX,Tools/Equipment
MSFT,IT
MSFT,Systems Software
MSFT,Tools/Equipment
NLOK,IT
NLOK,Systems Software
NLOK,Tools/Equipment
ORCL,IT
ORCL,Systems Software
ORCL,Tools/Equipment
AAPL,IT
AAPL,"Technology Hardware, Storage and Peripherals"
AAPL,Entertainment
HPQ,IT
HPQ,"Technology Hardware, Storage and Peripherals"
HPQ,Tools/Equipment
NTAP,IT
NTAP,"Technology Hardware, Storage and Peripherals"
NTAP,Tools/Equipment
STX,IT
STX,"Technology Hardware, Storage and Peripherals"
STX,Tools/Equipment
WDC,IT
WDC,"Technology Hardware, Storage and Peripherals"
WDC,Tools/Equipment
XRX,IT
XRX,"Technology Hardware, Storage and Peripherals"
XRX,Tools/Equipment
GD,Industrials
GD,Aerospace and Defense
GD,Aviation
GD,Transport
LMT,Industrials
LMT,Aerospace and Defense
LMT,Aviation
LMT,Transport
NOC,Industrials
NOC,Aerospace and Defense
NOC,Aviation
NOC,Transport
RTX,Industrials
RTX,Aerospace and Defense
RTX,Aviation
RTX,Transport
TXT,Industrials
TXT,Aerospace and Defense
TXT,Aviation
TXT,Transport
TDG,Industrials
TDG,Aerospace and Defense
TDG,Aviation
TDG,Transport
BA,Industrials
BA,Aerospace and Defense
BA,Aviation
BA,Transport
DE,Industrials
DE,Agricultural and Farm Machinery
DE,Tools/Equipment
DE,Food
CHRW,Industrials
CHRW,Air Freight and Logistics
CHRW,Aviation
CHRW,Transport
EXPD,Industrials
EXPD,Air Freight and Logistics
EXPD,Aviation
EXPD,Transport
FDX,Industrials
FDX,Air Freight and Logistics
FDX,Aviation
FDX,Transport
UPS,Industrials
UPS,Air Freight and Logistics
UPS,Aviation
UPS,Transport
ALK,Industrials
ALK,Airlines
ALK,Aviation
ALK,Transport
ALK,Travel
AAL,Industrials
AAL,Airlines
AAL,Aviation
AAL,Transport
AAL,Travel
DAL,Industrials
DAL,Airlines
DAL,Aviation
DAL,Transport
DAL,Travel
LUV,Industrials
LUV,Airlines
LUV,Aviation
LUV,Transport
LUV,Travel
UAL,Industrials
UAL,Airlines
UAL,Aviation
UAL,Transport
UAL,Travel
AOS,Industrials
AOS,Building Products
AOS,Home
AOS,Tools/Equipment
JCI,Industrials
JCI,Building Products
JCI,Home
JCI,Tools/Equipment
MAS,Industrials
MAS,Building Products
MAS,Home
MAS,Tools/Equipment
TT,Industrials
TT,Building Products
TT,Home
TT,Tools/Equipment
CAT,Industrials
CAT,Construction Machinery and Heavy Trucks
CAT,Tools/Equipment
CAT,Transport
CMI,Industrials
CMI,Construction Machinery and Heavy Trucks
CMI,Tools/Equipment
CMI,Transport
PCAR,Industrials
PCAR,Construction Machinery and Heavy Trucks
PCAR,Tools/Equipment
PCAR,Transport
WAB,Industrials
WAB,Construction Machinery and Heavy Trucks
WAB,Tools/Equipment
WAB,Transport
PWR,Industrials
PWR,Construction and Engineering
PWR,Service
J,Industrials
J,Construction and Engineering
J,Service
CTAS,Industrials
CTAS,Diversified Support Services
CTAS,Service
CPRT,Industrials
CPRT,Diversified Support Services
CPRT,Service
AME,Industrials
AME,Electrical Components and Equipment
AME,Tools/Equipment
EMR,Industrials
EMR,Electrical Components and Equipment
EMR,Tools/Equipment
ROK,Industrials
ROK,Electrical Components and Equipment
ROK,Tools/Equipment
RSG,Industrials
RSG,Environmental and Facilities Services
RSG,Service
ROL,Industrials
ROL,Environmental and Facilities Services
ROL,Service
WM,Industrials
WM,Environmental and Facilities Services
WM,Service
RHI,Industrials
RHI,Human Resource and Employment Services
RHI,Service
MMM,Industrials
MMM,Industrial Conglomerates
MMM,Tools/Equipment
GE,Industrials
GE,Industrial Conglomerates
GE,Tools/Equipment
HON,Industrials
HON,Industrial Conglomerates
HON,Tools/Equipment
ROP,Industrials
ROP,Industrial Conglomerates
ROP,Tools/Equipment
DOV,Industrials
DOV,Industrial Machinery
DOV,Tools/Equipment
FLS,Industrials
FLS,Industrial Machinery
FLS,Tools/Equipment
IEX,Industrials
IEX,Industrial Machinery
IEX,Tools/Equipment
ITW,Industrials
ITW,Industrial Machinery
ITW,Tools/Equipment
PH,Industrials
